ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LAS PERCEPCIONES ADICIONALES EN DINERO,MONTO BRUTO DE LAS PERCEPCIONES ADICIONALES EN DINERO,MONTO NETO DE LAS PERCEPCIONES ADICIONALES EN DINERO,TIPO DE MONEDA DE LAS PERCEPCIONES ADICIONALES EN DINERO,PERIODICIDAD DE LAS PERCEPCIONES ADICIONALES EN DINERO
1673124655,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,9154.52,8432.49,PESOS,MENSUAL
1673124657,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,11770.1,10641.74,PESOS,MENSUAL
1673124677,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,2324.96,2205.04,PESOS,MENSUAL
1673124710,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,10462.32,9554.6,PESOS,MENSUAL
1673124742,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,4940.54,4653.22,PESOS,MENSUAL
1673124772,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,10026.4,9188.42,PESOS,MENSUAL
1673124805,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,5928.66,5557.6,PESOS,MENSUAL
1673124837,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,3719.94,3510.74,PESOS,MENSUAL
1673124868,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,9590.46,8821,PESOS,MENSUAL
1673124869,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,9590.46,8821,PESOS,MENSUAL
1673124900,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,10462.32,9554.6,PESOS,MENSUAL
1673124902,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,6684.26,6230.99,PESOS,MENSUAL
1673124932,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,12206.04,10999.56,PESOS,MENSUAL
1673124965,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,7265.5,6748.99,PESOS,MENSUAL
1673124964,18/01/2023,18/01/2023,ZONA GEOGRAFICA,2854.24,2700.44,PESOS,MENSUAL
1673124968,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,5521.78,5194.99,PESOS,MENSUAL
1673124971,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,3719.94,3510.74,PESOS,MENSUAL
1673124976,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,3487.44,3293.12,PESOS,MENSUAL
1673124978,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,3952.44,3728.36,PESOS,MENSUAL
1673124984,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,3952.44,3728.36,PESOS,MENSUAL
1673124986,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,3719.94,3510.74,PESOS,MENSUAL
1673125005,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,7265.5,6748.99,PESOS,MENSUAL
1673125016,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,12641.98,11357.38,PESOS,MENSUAL
1673125018,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,7554.92,7006.92,PESOS,MENSUAL
1673125018,18/01/2023,18/01/2023,COMPLEMENTARIOS,463.08,454.19,PESOS,MENSUAL
1673125030,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,4649.92,4381.2,PESOS,MENSUAL
1673125046,18/01/2023,18/01/2023,COMPLEMENTARIOS,3803.44,3588.89,PESOS,MENSUAL
1673125046,18/01/2023,18/01/2023,COMPENSACIÓN ANTIGUEDAD,7221.82,6710.06,PESOS,MENSUAL
